client_id,nom,carrer,cp,poblacio,adreca_completa,palets,finestra_inici,finestra_fi,n_linies
136675,MGA GP VIC,"CTRA. DE SANT HIPÒLIT, 53 (NAU 4)",8500,VIC,"CTRA. DE SANT HIPÒLIT, 53 (NAU 4), 08500 VIC, España",0.01,08:00:00,18:00:00,2
9100058446,GUSTUM AREAS 1 (LLEIDA-GIRONA),"CARRETERA C-25 EIX TRANSVE KM 174,6",8503,GURB,"CARRETERA C-25 EIX TRANSVE KM 174,6, 08503 GURB, España",0.45,08:00:00,18:00:00,7
9100058476,GUSTUM AREAS 2 (GIRONA-LLEIDA),"CARRETERA C-25 EIX TRANSVE KM 174,6",8503,GURB,"CARRETERA C-25 EIX TRANSVE KM 174,6, 08503 GURB, España",0.4,08:00:00,18:00:00,7
9100058727,SNACK (VIC),Plaça Major 28,8500,VIC,"Plaça Major 28, 08500 VIC, España",1.45,08:00:00,18:00:00,13
9100058850,BAR LA PISTA,CALLE SOLEDAT 4,8500,VIC,"CALLE SOLEDAT 4, 08500 VIC, España",0.61,08:00:00,18:00:00,6
9100134828,EL CALIU RESTAURANT (VIC),CALLE RIERA 13,8500,VIC,"CALLE RIERA 13, 08500 VIC, España",1.55,08:00:00,18:00:00,18
9100158925,VINS I BEGUDES REMEI,CALLE VIRREI AVILES 28,8500,VIC,"CALLE VIRREI AVILES 28, 08500 VIC, España",0.25,08:00:00,18:00:00,4
9100324575,BAR SOL NOU,PASEO GENERALITAT 8,8500,VIC,"PASEO GENERALITAT 8, 08500 VIC, España",0.85,08:00:00,18:00:00,12
9100374304,BAR PRIEGO,CALLE ENRIC PRAT DE LA RIBA 49,8500,VIC,"CALLE ENRIC PRAT DE LA RIBA 49, 08500 VIC, España",0.85,08:00:00,18:00:00,12
9100374429,LA TAVERNA D'EN NORTON,PLAZA PES 6,8500,VIC,"PLAZA PES 6, 08500 VIC, España",0.39,08:00:00,18:00:00,6
9100389125,ALOE,MENENDEZ I PELAYO 1,8500,VIC,"MENENDEZ I PELAYO 1, 08500 VIC, España",0.13,08:00:00,18:00:00,3
9100397795,PADEL OSONA GURB,CALLE SANT ROC 29,8503,GURB,"CALLE SANT ROC 29, 08503 GURB, España",0.47,08:00:00,18:00:00,11
9100517701,CLUB BASQUET VIC,PLAZA PARE MILLAN S/N,8500,VIC,"PLAZA PARE MILLAN S/N, 08500 VIC, España",1.02,08:00:00,18:00:00,17
9100564797,CASINO DE VIC,CALLE JACINT VERDAGUER 5,8500,VIC,"CALLE JACINT VERDAGUER 5, 08500 VIC, España",0.91,08:00:00,18:00:00,21
9100579824,"PULIT, S.A",Carretera de Roda 61,8500,VIC,"Carretera de Roda 61, 08500 VIC, España",0.12,08:00:00,18:00:00,2
9100610240,BAR TAVERNA D'PAS,CALLE SANTIAGO RUSI#OL 1,8500,VIC,"CALLE SANTIAGO RUSI#OL 1, 08500 VIC, España",0.33,08:00:00,18:00:00,8
9100684868,AURIAL PADEL,Carrer de Figueres 14,8500,VIC,"Carrer de Figueres 14, 08500 VIC, España",0.44,08:00:00,18:00:00,8
9100700207,CA LA MEI,Rambla del Carme 35,8500,VIC,"Rambla del Carme 35, 08500 VIC, España",0.43,08:00:00,18:00:00,6
9100727009,Vacanal Jubany - Hamburgueseria,Plaça Major 36,8500,VIC,"Plaça Major 36, 08500 VIC, España",0.4,08:00:00,18:00:00,7
9100740503,BAR ÑAM LLODO,Carrer Enric Prat de la Riba 16,8500,VIC,"Carrer Enric Prat de la Riba 16, 08500 VIC, España",0.15,08:00:00,18:00:00,2
9100745910,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,"Carrer de la Providència 23, 08500 VIC, España",0.6,08:00:00,18:00:00,11
9100746500,RUKU RESTAURANT,Carrer de Sant Sadurní 12,8500,VIC,"Carrer de Sant Sadurní 12, 08500 VIC, España",0.42,08:00:00,18:00:00,6
9100752860,SAZON DE LOS APOLOS,Carretera d la Guixa 10,8500,VIC,"Carretera d la Guixa 10, 08500 VIC, España",0.3,08:00:00,18:00:00,4
9100759429,BAR CAMP DE TIR,Carretera de Manlleu km 4,8503,GURB,"Carretera de Manlleu km 4, 08503 GURB, España",0.13,08:00:00,18:00:00,3
